year,league,team,market_rank,win_lose
1988,al,Athletics,14,0
1988,nl,Dodgers,5,1
1989,al,Athletics,12,1
1989,nl,Giants,13,0
1990,al,Athletics,10,0
1990,nl,Reds,20,1
1991,al,Twins,16,1
1991,nl,Braves,20,0
1992,al,Blue Jays,3,1
1992,nl,Braves,11,0
1993,al,Blue Jays,1,1
1993,nl,Phillies,20,0
1994,,,,
1994,,,,
1995,al,Indians,9,0
1995,nl,Braves,3,1
1996,al,Yankees,1,1
1996,nl,Braves,3,0
1997,nl,Marlins,7,1
1997,al,Indians,4,0
1998,al,Yankees,2,1
1998,nl,Padreas,14,0
1999,al,Yankees,1,1
1999,nl,Braves,3,0
2000,al,Yankees,1,1
2000,nl,Mets,6,0
2001,al,Yankees,1,0
2001,nl,Diamondbacks,8,1
2002,al,Angles,15,1
2002,nl,Giants,10,0
2003,al,Yankees,1,0
2003,nl,Marlins,25,1
2004,al,Red Sox,2,1
2004,nl,Cardinals,8,0
2005,al,Astros,11,0
2005,nl,White Soxs,12,1
2006,al,Tigers,14,0
2006,nl,Cardinals,11,1
2007,al,Red Sox,2,1
2007,nl,Rockies,25,0
2008,al,Rays,25,0
2008,nl,Phillies,12,1
2009,al,Yankees,1,1
2009,nl,Phillies,7,0
2010,al,Rangers,27,0
2010,nl,Giants,9,1
2011,al,Rangers,13,0
2011,nl,Cardinals,9,1
2012,al,Tigers,5,0
2012,nl,Giants,7,1
2013,al,Red Sox,3,0
2013,nl,Cardinals,10,1
2014,al,Royals,18,0
2014,nl,Giants,7,1
2015,al,Royals,13,1
2015,nl,Mets,17,0
2016,al,Indians,18,0
2016,nl,Cubs,5,1
2017,al,Astros,17,1
2017,nl,Dodgers,1,0
2018,al,Red Sox,1,1
2018,nl,Dodgers,3,0
2019,al,Astros,8,0
2019,nl,Nationals,7,1
2020,al,Rays,28,0
2020,nl,Dodgers,1,1
2021,al,Astros,4,0
2021,nl,Braves,10,1
2022,al,Astros,8,1
2022,nl,Phillies,4,0
2023,al,Rangers,21,1
2023,nl,Diamondbacks,4,0
2024,al,Yankees,2,
2024,nl,Dodgers,5,
